Gender,Male,Minority,Age,GPA,Verbal,Math,TotSAT,SSH.total,BStotal,CTA.tot,PTTtotal,PTT.factor1,PTT.factor2,PTT.factor3,Perf.CM,Perf.D,Perf.PE,Perf.PC,Perf.PS,Perf.O,harvey.negproj,harvey.achexp,harvey.parinf,harvey.org,stoeberORG,stoeberCMD,stoeberPEC,stoeberPS,Harvey4f
1,0,1,21,2.3, , , ,23,20,35,36,22,10,4,25,11,13,8,27,24,33,30,21,24,24,33,21,26,3
1,0,1,21,2.8, , , ,17,12, ,69,36,20,13,39,14,15,11,31,30,48,36,26,30,30,48,26,31,4
2,1,1,20,3.61, , , ,22,13,28,34,20,9,5,21,13,13,8,32,29,30,36,21,29,29,30,21,31,3
2,1,1,19,3.89, , , ,24,17,31,41,25,10,6,32,13,15,12,30,23,40,35,27,23,23,40,27,31,4
2,1,1,19,2.5, , , ,18,26,43,52,27,16,9,19,11,12,9,19,23,28,21,21,23,23,28,21,18,2
2,1,1,20,2.8, , , ,30,32,58,53,26,17,10,23,13,13,10,26,24,34,28,23,24,24,34,23,24,1
2,1,1,20,2.9,500,500,1000,19,18,44,50,25,16,9,20,9,14,8,20,24,27,22,22,24,24,27,22,18,2
2,1,1,20,2.8, , , ,15,10,26,43,27,10,6,16,11,13,6,22,19,24,25,19,19,19,24,19,21,2
2,1,1,22,2.5, , , ,25,10,32,50,25,5,20,14,8,14,4,27,29,20,29,18,29,29,20,18,24,2
1,0,1,19,3.17, , , ,24,10,23,47,24,7,16,20,12,14,8,28,24,29,31,22,24,24,29,22,27,3
1,0,0,20,2, , , ,23,14,44,66,39,19,8,11,10,15,4,22,25,18,25,19,25,25,18,19,21,2
1,0,1,19,3.46, , , ,18,26,35,44,31,8,5,36,15,17,9,32,26,46,37,26,26,26,46,26,33,4
1,0,1,20,3,600,600,1200,21,16,32,56,38,12,6,39,14,21,16,32,21,49,36,37,21,21,49,37,31,4
2,1,1,19,2.9,650,600,1250,18,28,49,33,19,10,4,28,15,16,9,28,29,39,32,25,29,29,39,25,28,4
2,1,1,47, , , , ,22,15,47,54,28,17,9,33,17,16,17,20,21,46,24,33,21,21,46,33,22,4
2,1,0,22,2.9, , , ,13,34,51,52,25,16,11,38,12,17,11,24,21,45,29,28,21,21,45,28,28,4
1,0,1,50,3.8, , , ,29,21,39,58,35,7,16,9,4,11,4,23,22,12,24,15,22,22,12,15,19,2
1,0,1,20,3, , , ,8,40,55,49,23,17,9,20,10,18,8,25,23,28,27,26,23,23,28,26,23,1
1,0,1,19,2.8,600,540,1140,16,14,38,44,26,13,5,21,10,16,8,29,24,27,33,24,24,24,27,24,29,3
2,1,1,19,3.1,500,650,1150,15,12,39,47,30,11,6,26,14,18,8,26,29,36,30,26,29,29,36,26,27,3
2,1,1,22,2.7,600,500,1100,25,35,38,43,30,8,5,15,6,13, ,21,30,18,24, ,30,30,18, ,20, 
1,0,1,19,2.7,660,660,1320,21,14, ,33,19,7,7,21,9,15,8,18,20,27,21,23,20,20,27,23,18,2
1,0,1,20,3.4, , , ,18,18,40,43,22,15,6,30,15,15,11,26,24,42,29,26,24,24,42,26,26,4
1,0,1,20,3.5, , , ,13,12,34,42,25,12,5,25,8,15,5,32,23,28,37,20,23,23,28,20,33,3
1,0,1,18,3,600,650,1250,24,26,49,57,39,11,7,22,10,17,6,30,24,29,33,23,24,24,29,23,29,3
2,1,1,22,3,550,620,1170,27,17,18,45,20,15,10,21,12,13,11,22,17,29,26,24,17,17,29,24,22,1
